Designator,Quantity,Value,Footprint,LCSC Part #
"Ci2, ","1","10nF","0603","C57112"
"Cq1, Cq2, ","2","22pF","0603","C1653"
"Cr1, Cs2, Cs4, ","3","1uF","0603","C15849"
"Cs3, ","1","220pF","0603","C1603"
"Cs5, Cs6, ","2","10uF","0603","C19702"
"Di1, Di2, ","2","BZT52C4V7","SOD-123","C173408"
"Dl1, ","1","STATUS","LED_0603","C72043"
"Rb1, Ri1, Ri2, Ri7, Rr1, Rs2, Rs5, ","7","10k","0603","C25804"
"Rc1, Rc2, ","2","100","0603","C22775"
"Ri3, Ri8, Rl1, ","3","1k","0603","C21190"
"Rq1, Rs3, ","2","1M","0603","C22935"
"Rs1, ","1","100k","0603","C25803"
"Rs4, ","1","3k2","0603","C4211"
